sheet_number,,,gcp_file,id,source,url,annotation_output,gcp_output
3,jacoubet,Atlas_de_Jacoubet_-_03._Partie_de_la_commune_de_Monceau_et_de_ses_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_03._Partie_de_la_commune_de_Monceau_et_de_ses_environs_-_BHVP.jpg.points,bhvp_jacoubet_03,Atlas_de_Jacoubet_-_03._Partie_de_la_commune_de_Monceau_et_de_ses_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_03._Partie_de_la_commune_de_Monceau_et_de_ses_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_03.json,
4,jacoubet,Atlas_de_Jacoubet_-_04._Partie_de_la_commune_de_Clichy_et_de_ses_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_04._Partie_de_la_commune_de_Clichy_et_de_ses_environs_-_BHVP.jpg.points,bhvp_jacoubet_04,Atlas_de_Jacoubet_-_04._Partie_de_la_commune_de_Clichy_et_de_ses_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_04._Partie_de_la_commune_de_Clichy_et_de_ses_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_04.json,
5,jacoubet,Atlas_de_Jacoubet_-_05._Partie_de_la_commune_de_Montmartre_et_de_ses_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_05._Partie_de_la_commune_de_Montmartre_et_de_ses_environs_-_BHVP.jpg.points,bhvp_jacoubet_05,Atlas_de_Jacoubet_-_05._Partie_de_la_commune_de_Montmartre_et_de_ses_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_05._Partie_de_la_commune_de_Montmartre_et_de_ses_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_05.json,
6,jacoubet,Atlas_de_Jacoubet_-_06._Partie_de_la_commune_de_La_Chapelle_et_de_ses_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_06._Partie_de_la_commune_de_La_Chapelle_et_de_ses_environs_-_BHVP.jpg.points,bhvp_jacoubet_06,Atlas_de_Jacoubet_-_06._Partie_de_la_commune_de_La_Chapelle_et_de_ses_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_06._Partie_de_la_commune_de_La_Chapelle_et_de_ses_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_06.json,
7,jacoubet,Atlas_de_Jacoubet_-_07._Barrière_de_la_Villette_et_ses_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_07._Barrière_de_la_Villette_et_ses_environs_-_BHVP.jpg.points,bhvp_jacoubet_07,Atlas_de_Jacoubet_-_07._Barriere_de_la_Villette_et_ses_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_07._Barriere_de_la_Villette_et_ses_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_07.json,
10,jacoubet,Atlas_de_Jacoubet_-_10._Route_de_Neuilly_à_Paris_et_ses_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_10._Route_de_Neuilly_à_Paris_et_ses_environs_-_BHVP.jpg.points,bhvp_jacoubet_10,Atlas_de_Jacoubet_-_10._Route_de_Neuilly_a_Paris_et_ses_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_10._Route_de_Neuilly_a_Paris_et_ses_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_10.json,
11,jacoubet,Atlas_de_Jacoubet_-_11._Hospice_Beaujon_et_ses_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_11._Hospice_Beaujon_et_ses_environs_-_BHVP.jpg.points,bhvp_jacoubet_11,Atlas_de_Jacoubet_-_11._Hospice_Beaujon_et_ses_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_11._Hospice_Beaujon_et_ses_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_11.json,
12,jacoubet,Atlas_de_Jacoubet_-_12._Abattoir_du_Roule_et_ses_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_12._Abattoir_du_Roule_et_ses_environs_-_BHVP.jpg.points,bhvp_jacoubet_12,Atlas_de_Jacoubet_-_12._Abattoir_du_Roule_et_ses_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_12._Abattoir_du_Roule_et_ses_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_12.json,
13,jacoubet,Atlas_de_Jacoubet_-_13._Collège_Bourbon_et_ses_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_13._Collège_Bourbon_et_ses_environs_-_BHVP.jpg.points,bhvp_jacoubet_13,Atlas_de_Jacoubet_-_13._College_Bourbon_et_ses_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_13._College_Bourbon_et_ses_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_13.json,
14,jacoubet,Atlas_de_Jacoubet_-_14._Académie_Royale_de_Musique_et_ses_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_14._Académie_Royale_de_Musique_et_ses_environs_-_BHVP.jpg.points,bhvp_jacoubet_14,Atlas_de_Jacoubet_-_14._Academie_Royale_de_Musique_et_ses_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_14._Academie_Royale_de_Musique_et_ses_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_14.json,
15,jacoubet,Atlas_de_Jacoubet_-_15._Eglise_St_Laurent_et_ses_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_15._Eglise_St_Laurent_et_ses_environs_-_BHVP.jpg.points,bhvp_jacoubet_15,Atlas_de_Jacoubet_-_15._Eglise_St_Laurent_et_ses_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_15._Eglise_St_Laurent_et_ses_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_15.json,
16,jacoubet,Atlas_de_Jacoubet_-_16._Hospice_St_Louis_et_ses_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_16._Hospice_St_Louis_et_ses_environs_-_BHVP.jpg.points,bhvp_jacoubet_16,Atlas_de_Jacoubet_-_16._Hospice_St_Louis_et_ses_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_16._Hospice_St_Louis_et_ses_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_16.json,
17,jacoubet,Atlas_de_Jacoubet_-_17._Commune_de_Belleville_et_ses_environs_ouest_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_17._Commune_de_Belleville_et_ses_environs_ouest_-_BHVP.jpg.points,bhvp_jacoubet_17,Atlas_de_Jacoubet_-_17._Commune_de_Belleville_et_ses_environs_ouest_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_17._Commune_de_Belleville_et_ses_environs_ouest_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_17.json,
18,jacoubet,Atlas_de_Jacoubet_-_18._Commune_de_Belleville_et_ses_environs_est_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_18._Commune_de_Belleville_et_ses_environs_est_-_BHVP.jpg.points,bhvp_jacoubet_18,Atlas_de_Jacoubet_-_18._Commune_de_Belleville_et_ses_environs_est_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_18._Commune_de_Belleville_et_ses_environs_est_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_18.json,
19,jacoubet,"Atlas_de_Jacoubet_-_19._Partie_de_la_commune_de_Passy,_Barrière_de_Longchamp_et_ses_environs_-_BHVP.jpg.points","jacoubet/Atlas_de_Jacoubet_-_19._Partie_de_la_commune_de_Passy,_Barrière_de_Longchamp_et_ses_environs_-_BHVP.jpg.points",bhvp_jacoubet_19,Atlas_de_Jacoubet_-_19._Partie_de_la_commune_de_Passy_Barriere_de_Longchamp_et_ses_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_19._Partie_de_la_commune_de_Passy_Barriere_de_Longchamp_et_ses_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_19.json,
20,jacoubet,"Atlas_de_Jacoubet_-_20._Eglise_St_Pierre,_Gros_Caillou_et_Chaillot_et_leurs_environs_-_BHVP.jpg.points","jacoubet/Atlas_de_Jacoubet_-_20._Eglise_St_Pierre,_Gros_Caillou_et_Chaillot_et_leurs_environs_-_BHVP.jpg.points",bhvp_jacoubet_20,Atlas_de_Jacoubet_-_20._Eglise_St_Pierre_Gros_Caillou_et_Chaillot_et_leurs_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_20._Eglise_St_Pierre_Gros_Caillou_et_Chaillot_et_leurs_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_20.json,
21,jacoubet,Atlas_de_Jacoubet_-_21._Champs-Elysées_et_leurs_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_21._Champs-Elysées_et_leurs_environs_-_BHVP.jpg.points,bhvp_jacoubet_21,Atlas_de_Jacoubet_-_21._Champs-Elysees_et_leurs_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_21._Champs-Elysees_et_leurs_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_21.json,
22,jacoubet,Atlas_de_Jacoubet_-_22._Tuileries_et_leurs_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_22._Tuileries_et_leurs_environs_-_BHVP.jpg.points,bhvp_jacoubet_22,Atlas_de_Jacoubet_-_22._Tuileries_et_leurs_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_22._Tuileries_et_leurs_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_22.json,
23,jacoubet,Atlas_de_Jacoubet_-_23._Eglise_St_Eustache_et_ses_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_23._Eglise_St_Eustache_et_ses_environs_-_BHVP.jpg.points,bhvp_jacoubet_23,Atlas_de_Jacoubet_-_23._Eglise_St_Eustache_et_ses_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_23._Eglise_St_Eustache_et_ses_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_23.json,
24,jacoubet,Atlas_de_Jacoubet_-_24._Eglise_St_Nicolas_des_Champs_et_ses_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_24._Eglise_St_Nicolas_des_Champs_et_ses_environs_-_BHVP.jpg.points,bhvp_jacoubet_24,Atlas_de_Jacoubet_-_24._Eglise_St_Nicolas_des_Champs_et_ses_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_24._Eglise_St_Nicolas_des_Champs_et_ses_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_24.json,
25,jacoubet,Atlas_de_Jacoubet_-_25._Théâtres_de_la_Gaîté_et_du_Cirque-Olympique_et_leurs_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_25._Théâtres_de_la_Gaîté_et_du_Cirque-Olympique_et_leurs_environs_-_BHVP.jpg.points,bhvp_jacoubet_25,Atlas_de_Jacoubet_-_25._Theatres_de_la_Gaite_et_du_Cirque-Olympique_et_leurs_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_25._Theatres_de_la_Gaite_et_du_Cirque-Olympique_et_leurs_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_25.json,
26,jacoubet,Atlas_de_Jacoubet_-_26._Abattoir_Ménilmontant_et_ses_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_26._Abattoir_Ménilmontant_et_ses_environs_-_BHVP.jpg.points,bhvp_jacoubet_26,Atlas_de_Jacoubet_-_26._Abattoir_Menilmontant_et_ses_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_26._Abattoir_Menilmontant_et_ses_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_26.json,
27,jacoubet,Atlas_de_Jacoubet_-_27._Cimetière_du_Père-Lachaise_et_ses_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_27._Cimetière_du_Père-Lachaise_et_ses_environs_-_BHVP.jpg.points,bhvp_jacoubet_27,Atlas_de_Jacoubet_-_27._Cimetiere_du_Pere-Lachaise_et_ses_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_27._Cimetiere_du_Pere-Lachaise_et_ses_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_27.json,
