sheet_number,,,gcp_file,id,source,url,annotation_output,gcp_output
28,jacoubet,Atlas_de_Jacoubet_-_28._Barrière_de_la_Cunette_et_ses_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_28._Barrière_de_la_Cunette_et_ses_environs_-_BHVP.jpg.points,bhvp_jacoubet_28,Atlas_de_Jacoubet_-_28._Barriere_de_la_Cunette_et_ses_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_28._Barriere_de_la_Cunette_et_ses_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_28.json,
29,jacoubet,Atlas_de_Jacoubet_-_29._Champ_de_Mars_et_ses_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_29._Champ_de_Mars_et_ses_environs_-_BHVP.jpg.points,bhvp_jacoubet_29,Atlas_de_Jacoubet_-_29._Champ_de_Mars_et_ses_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_29._Champ_de_Mars_et_ses_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_29.json,
30,jacoubet,Atlas_de_Jacoubet_-_30._Hôtel_Royal_des_Invalides_et_ses_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_30._Hôtel_Royal_des_Invalides_et_ses_environs_-_BHVP.jpg.points,bhvp_jacoubet_30,Atlas_de_Jacoubet_-_30._Hotel_Royal_des_Invalides_et_ses_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_30._Hotel_Royal_des_Invalides_et_ses_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_30.json,
31,jacoubet,Atlas_de_Jacoubet_-_31._Eglise_St_Sulpice_et_ses_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_31._Eglise_St_Sulpice_et_ses_environs_-_BHVP.jpg.points,bhvp_jacoubet_31,Atlas_de_Jacoubet_-_31._Eglise_St_Sulpice_et_ses_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_31._Eglise_St_Sulpice_et_ses_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_31.json,
32,jacoubet,Atlas_de_Jacoubet_-_32._Palais_de_Justice_et_ses_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_32._Palais_de_Justice_et_ses_environs_-_BHVP.jpg.points,bhvp_jacoubet_32,Atlas_de_Jacoubet_-_32._Palais_de_Justice_et_ses_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_32._Palais_de_Justice_et_ses_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_32.json,
33,jacoubet,Atlas_de_Jacoubet_-_33._Ile_Saint-Louis_et_ses_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_33._Ile_Saint-Louis_et_ses_environs_-_BHVP.jpg.points,bhvp_jacoubet_33,Atlas_de_Jacoubet_-_33._Ile_Saint-Louis_et_ses_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_33._Ile_Saint-Louis_et_ses_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_33.json,
34,jacoubet,Atlas_de_Jacoubet_-_34.Place_de_la_Bastille_et_ses_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_34.Place_de_la_Bastille_et_ses_environs_-_BHVP.jpg.points,bhvp_jacoubet_34,Atlas_de_Jacoubet_-_34.Place_de_la_Bastille_et_ses_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_34.Place_de_la_Bastille_et_ses_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_34.json,
35,jacoubet,Atlas_de_Jacoubet_-_35._Manufacture_des_Glaces_et_ses_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_35._Manufacture_des_Glaces_et_ses_environs_-_BHVP.jpg.points,bhvp_jacoubet_35,Atlas_de_Jacoubet_-_35._Manufacture_des_Glaces_et_ses_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_35._Manufacture_des_Glaces_et_ses_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_35.json,
36,jacoubet,Atlas_de_Jacoubet_-_36._Barrière_du_Trône_et_ses_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_36._Barrière_du_Trône_et_ses_environs_-_BHVP.jpg.points,bhvp_jacoubet_36,Atlas_de_Jacoubet_-_36._Barriere_du_Trone_et_ses_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_36._Barriere_du_Trone_et_ses_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_36.json,
37,jacoubet,Atlas_de_Jacoubet_-_37._Plaine_de_Grenelle_ouest_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_37._Plaine_de_Grenelle_ouest_-_BHVP.jpg.points,bhvp_jacoubet_37,Atlas_de_Jacoubet_-_37._Plaine_de_Grenelle_ouest_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_37._Plaine_de_Grenelle_ouest_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_37.json,
38,jacoubet,Atlas_de_Jacoubet_-_38._Plaine_de_Grenelle_est_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_38._Plaine_de_Grenelle_est_-_BHVP.jpg.points,bhvp_jacoubet_38,Atlas_de_Jacoubet_-_38._Plaine_de_Grenelle_est_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_38._Plaine_de_Grenelle_est_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_38.json,
39,jacoubet,Atlas_de_Jacoubet_-_39._Barrière_du_Maine_et_ses_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_39._Barrière_du_Maine_et_ses_environs_-_BHVP.jpg.points,bhvp_jacoubet_39,Atlas_de_Jacoubet_-_39._Barriere_du_Maine_et_ses_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_39._Barriere_du_Maine_et_ses_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_39.json,
40,jacoubet,Atlas_de_Jacoubet_-_40._Barrière_du_Mont-Parnasse_et_ses_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_40._Barrière_du_Mont-Parnasse_et_ses_environs_-_BHVP.jpg.points,bhvp_jacoubet_40,Atlas_de_Jacoubet_-_40._Barriere_du_Mont-Parnasse_et_ses_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_40._Barriere_du_Mont-Parnasse_et_ses_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_40.json,
41,jacoubet,Atlas_de_Jacoubet_-_41._Hôpital_Militaire_du_Val-de-Grâce_et_ses_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_41._Hôpital_Militaire_du_Val-de-Grâce_et_ses_environs_-_BHVP.jpg.points,bhvp_jacoubet_41,Atlas_de_Jacoubet_-_41._Hopital_Militaire_du_Val-de-Grace_et_ses_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_41._Hopital_Militaire_du_Val-de-Grace_et_ses_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_41.json,
42,jacoubet,Atlas_de_Jacoubet_-_42._Jardin_du_Roi_et_ses_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_42._Jardin_du_Roi_et_ses_environs_-_BHVP.jpg.points,bhvp_jacoubet_42,Atlas_de_Jacoubet_-_42._Jardin_du_Roi_et_ses_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_42._Jardin_du_Roi_et_ses_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_42.json,
43,jacoubet,"Atlas_de_Jacoubet_-_43._Salpétrière,_Hospice_de_la_Vieillesse,_Femmes_et_ses_environs_-_BHVP.jpg.points","jacoubet/Atlas_de_Jacoubet_-_43._Salpétrière,_Hospice_de_la_Vieillesse,_Femmes_et_ses_environs_-_BHVP.jpg.points",bhvp_jacoubet_43,Atlas_de_Jacoubet_-_43._Salpetriere_Hospice_de_la_Vieillesse_Femmes_et_ses_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_43._Salpetriere_Hospice_de_la_Vieillesse_Femmes_et_ses_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_43.json,
44,jacoubet,"Atlas_de_Jacoubet_-_44._Barrière_de_Charenton,_Commune_de_Bercy_et_leurs_environs_-_BHVP.jpg.points","jacoubet/Atlas_de_Jacoubet_-_44._Barrière_de_Charenton,_Commune_de_Bercy_et_leurs_environs_-_BHVP.jpg.points",bhvp_jacoubet_44,Atlas_de_Jacoubet_-_44._Barriere_de_Charenton_Commune_de_Bercy_et_leurs_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_44._Barriere_de_Charenton_Commune_de_Bercy_et_leurs_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_44.json,
45,jacoubet,Atlas_de_Jacoubet_-_45._Barrière_de_St_Mandé_et_ses_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_45._Barrière_de_St_Mandé_et_ses_environs_-_BHVP.jpg.points,bhvp_jacoubet_45,Atlas_de_Jacoubet_-_45._Barriere_de_St_Mande_et_ses_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_45._Barriere_de_St_Mande_et_ses_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_45.json,
46,jacoubet,Atlas_de_Jacoubet_-_46._Nomenclature_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_46._Nomenclature_-_BHVP.jpg.points,bhvp_jacoubet_46,Atlas_de_Jacoubet_-_46._Nomenclature_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_46._Nomenclature_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_46.json,
47,jacoubet,Atlas_de_Jacoubet_-_47._Nomenclature_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_47._Nomenclature_-_BHVP.jpg.points,bhvp_jacoubet_47,Atlas_de_Jacoubet_-_47._Nomenclature_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_47._Nomenclature_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_47.json,
48,jacoubet,Atlas_de_Jacoubet_-_48._Nomenclature_et_partie_de_la_Plaine_de_Grenelle_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_48._Nomenclature_et_partie_de_la_Plaine_de_Grenelle_-_BHVP.jpg.points,bhvp_jacoubet_48,Atlas_de_Jacoubet_-_48._Nomenclature_et_partie_de_la_Plaine_de_Grenelle_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_48._Nomenclature_et_partie_de_la_Plaine_de_Grenelle_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_48.json,
49,jacoubet,Atlas_de_Jacoubet_-_49._Barrière_dEnfer_et_ses_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_49._Barrière_dEnfer_et_ses_environs_-_BHVP.jpg.points,bhvp_jacoubet_49,Atlas_de_Jacoubet_-_49._Barriere_dEnfer_et_ses_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_49._Barriere_dEnfer_et_ses_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_49.json,
50,jacoubet,Atlas_de_Jacoubet_-_50._Barrière_Croulebarbe_et_ses_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_50._Barrière_Croulebarbe_et_ses_environs_-_BHVP.jpg.points,bhvp_jacoubet_50,Atlas_de_Jacoubet_-_50._Barriere_Croulebarbe_et_ses_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_50._Barriere_Croulebarbe_et_ses_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_50.json,
51,jacoubet,Atlas_de_Jacoubet_-_51._Barrière_d'Italie_et_ses_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_51._Barrière_d'Italie_et_ses_environs_-_BHVP.jpg.points,bhvp_jacoubet_51,Atlas_de_Jacoubet_-_51._Barriere_dItalie_et_ses_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_51._Barriere_dItalie_et_ses_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_51.json,
52,jacoubet,Atlas_de_Jacoubet_-_52._Nomenclature_des_monuments_et_partie_de_la_Commune_dIvry_et_de_ses_environs_-_BHVP.jpg.points,jacoubet/Atlas_de_Jacoubet_-_52._Nomenclature_des_monuments_et_partie_de_la_Commune_dIvry_et_de_ses_environs_-_BHVP.jpg.points,bhvp_jacoubet_52,Atlas_de_Jacoubet_-_52._Nomenclature_des_monuments_et_partie_de_la_Commune_dIvry_et_de_ses_environs_-_BHVP.jpg,https://iiif.geohistoricaldata.org/iiif/3/Atlas_de_Jacoubet_-_52._Nomenclature_des_monuments_et_partie_de_la_Commune_dIvry_et_de_ses_environs_-_BHVP.jpg,output/bhvp_jacoubet/bhvp_jacoubet_52.json,
